gene	sample1	sample2
ENSG00000006576	3.342451602	1.981226743
ENSG00000006606	0.545472909	0.188817213
ENSG00000006607	1.736748201	0.74916403
ENSG00000006611	0.003272022	0.031713386
ENSG00000006625	21.72288081	45.30448534
ENSG00000006634	1.981678601	1.277396721
ENSG00000006638	0.620468111	1.010247583
ENSG00000006652	3.355324848	3.867071835
ENSG00000006659	0.014871172	0
ENSG00000006695	3.465165954	2.903263078
ENSG00000006704	7.534061248	16.40668451
ENSG00000006712	27.60536579	36.02431443
ENSG00000006715	10.48615322	8.427324597
ENSG00000006740	6.613072937	4.902642372
ENSG00000006744	11.55210465	11.00895118
ENSG00000006747	2.907413314	0.367010108
ENSG00000006756	11.25502136	17.74080967
ENSG00000006757	3.189613604	7.208901468
ENSG00000006788	0	0
ENSG00000006831	10.95211483	10.63816461
ENSG00000006837	0.257197822	0.308879102
ENSG00000007001	0.195351982	0.304297745
ENSG00000007038	0.424195082	0.056475577
ENSG00000007047	3.826204508	6.294067578
ENSG00000007062	6.404152062	0.052301064
ENSG00000007080	22.21306984	30.38175127
ENSG00000007129	3.230905291	0.866967695
ENSG00000007168	19.25637835	17.19005666
ENSG00000007171	1.102777896	0.348478385
ENSG00000007174	0.005669963	0.016355633
ENSG00000007202	26.69699073	19.30407761
ENSG00000007216	0	0.010330514
ENSG00000007237	3.892345262	0.397055181
ENSG00000007255	15.71922744	12.78755977
ENSG00000007264	4.215900094	0.909409542
ENSG00000007306	0.048459025	0
ENSG00000007312	27.84134378	1.762445288
ENSG00000007314	0.45528832	0.427000424
ENSG00000007341	1.20676326	1.292893143
ENSG00000007350	0.021980815	0.003043492
ENSG00000007372	0.069472579	0.081162534
ENSG00000007376	4.948818895	6.182223791
ENSG00000007384	7.585438708	13.84185025
ENSG00000007392	9.28568414	5.694671312
ENSG00000007402	0.418789803	1.291510337
ENSG00000007516	1.240131388	4.863917287
ENSG00000007520	30.72362632	33.26367887
ENSG00000007541	8.858117936	11.55671849
ENSG00000007545	2.6446283	2.065725261
ENSG00000007866	9.461131509	13.3771768
ENSG00000007908	0.556447801	0.443380704
ENSG00000007923	5.461257313	4.952275933
ENSG00000007933	0.690399428	0.461928799
ENSG00000007944	19.52712385	21.15166782
ENSG00000007952	0.272826324	0.355796137
ENSG00000007968	1.123249037	0.325709982
ENSG00000008018	54.65311333	56.27741964
ENSG00000008056	0.21001302	0.373868674
ENSG00000008083	4.919171126	2.134947705
ENSG00000008086	1.361273177	0.963013659
ENSG00000008118	0.239850445	0.099630009
ENSG00000008128	1.587191568	1.11536442
ENSG00000008130	14.11586612	7.989521851
ENSG00000008196	0	0.001806594
ENSG00000008197	0.008645471	0
ENSG00000008226	0.575408063	0.470303113
ENSG00000008256	5.365241358	5.814495182
ENSG00000008277	0.381452453	0.138415395
ENSG00000008282	41.91255179	39.06350395
ENSG00000008283	8.846410265	13.08409827
ENSG00000008294	12.14146489	11.81911894
ENSG00000008300	0.52395557	0.335512477
ENSG00000008311	1.936284272	1.369538286
ENSG00000008323	1.028299664	1.582865929
ENSG00000008324	9.644863871	8.777702497
ENSG00000008382	16.46104489	13.04965923
ENSG00000008394	29.23433587	41.30094419
ENSG00000008405	3.92432665	5.361253778
ENSG00000008438	0.111430519	0.030857628
ENSG00000008441	7.198036681	22.74454941
ENSG00000008513	16.73165818	35.44134139
ENSG00000008516	1.271701475	0.261160535
ENSG00000008517	31.11192875	8.813607811
ENSG00000008710	2.523096736	2.167560207
ENSG00000008735	0.157713556	0.135541386
ENSG00000008838	10.24482141	8.83497945
ENSG00000008853	10.71521291	23.24901854
ENSG00000008869	6.777408946	5.076504719
ENSG00000008952	21.19091386	31.76809922
ENSG00000008988	274.4869982	234.7268421
ENSG00000009307	106.1318417	124.5783002
ENSG00000009335	8.811374342	7.494186604
ENSG00000009413	3.39774746	2.832394971
ENSG00000009694	3.281117258	3.857394917
ENSG00000009709	0	0
ENSG00000009724	0.430308963	0.266547188
ENSG00000009765	103.9768691	110.6361209
ENSG00000009780	3.822558492	3.932396969
ENSG00000009790	6.621302093	0.924534349
ENSG00000009830	1.878336581	2.296754329
ENSG00000009844	5.002496849	4.03231267
ENSG00000009950	0.203282592	1.59652176
ENSG00000009954	17.0265454	19.65962971
ENSG00000010017	15.40837381	14.25185407
ENSG00000010030	8.367709142	3.73879027
ENSG00000010072	1.649156589	1.271505644
ENSG00000010165	13.35838497	7.613859658
ENSG00000010219	2.720585444	2.902384319
ENSG00000010244	9.001930743	8.244914973
ENSG00000010256	43.27856681	51.98728378
ENSG00000010270	7.650263828	9.389292035
ENSG00000010278	102.6428091	145.9929658
ENSG00000010282	3.896329407	9.444931793
ENSG00000010292	10.87872436	8.39962994
ENSG00000010295	5.668371777	0.886052203
ENSG00000010310	0.559034868	0.342457121
ENSG00000010318	1.403966621	1.03613196
ENSG00000010319	2.504084593	4.936974152
ENSG00000010322	13.46245122	14.79023859
ENSG00000010327	10.43110898	3.399351835
ENSG00000010361	5.890783836	6.925079323
ENSG00000010379	0.204214875	1.549935816
ENSG00000010404	21.24212026	35.48534229
ENSG00000010438	0.06750118	0.053407433
ENSG00000010539	1.209120704	1.160062439
ENSG00000010610	44.0310779	9.870131781
ENSG00000010626	2.542980177	3.477393986
ENSG00000010671	8.768303144	1.257777149
ENSG00000010704	3.138511749	3.030191877
ENSG00000010803	8.230473135	15.23549409
ENSG00000010810	18.32807254	22.95197944
ENSG00000010818	6.259809494	5.737359332
ENSG00000010932	0.204918312	0.037008593
ENSG00000011007	8.703114201	9.408743184
ENSG00000011009	31.56589132	34.62124683
ENSG00000011021	4.29943849	4.459189648
ENSG00000011028	21.07030914	22.8393228
ENSG00000011052	0.581845096	0.304349207
ENSG00000011083	0.171751709	0.007589669
ENSG00000011105	9.452365827	10.90655677
ENSG00000011114	4.417497894	4.905962589
ENSG00000011132	3.093099421	3.143079339
ENSG00000011143	2.73860038	3.132677285
ENSG00000011198	5.630262345	5.410785833
ENSG00000011201	6.169113518	5.510760454
ENSG00000011243	9.363584814	9.206638389
ENSG00000011258	3.912896374	3.204119645
ENSG00000011260	14.02329126	18.50232897
ENSG00000011275	9.068651189	9.156441167
ENSG00000011295	10.68029587	10.41980271
ENSG00000011304	29.35743308	40.85688021
ENSG00000011332	0.03008624	0.013885933
ENSG00000011347	2.611887941	2.340058384
ENSG00000011376	4.468956818	3.954903103
ENSG00000011405	7.332622113	8.501739161
ENSG00000011422	20.54621765	3.818397793
ENSG00000011426	2.428784968	0.382486766
ENSG00000011451	5.31038822	5.538334036
ENSG00000011454	5.916106775	12.53583557
ENSG00000011465	13.75156863	1.704315286
ENSG00000011478	4.49368217	4.933099252
ENSG00000011485	9.142511814	11.69101494
ENSG00000011523	4.067788998	2.266065675
ENSG00000011566	5.025117856	7.272777212
ENSG00000011590	1.726247811	0.128332084
ENSG00000011600	139.0888762	32.50563621
ENSG00000011638	9.440665404	15.77719876
ENSG00000011677	0	0.002649355
ENSG00000012048	1.119318425	0.666373315
ENSG00000012061	7.919400567	9.506982818
ENSG00000012124	16.05120534	1.462768802
ENSG00000012171	9.948071643	5.126817269
ENSG00000012174	3.089847091	3.220503506
